개념ID,개념명,영역,학년단계,선수개념IDs,한줄설명,개념설명,예시
E07,절댓값 방정식,방정식,중1-고1,I04;E02,|식|=k 의 풀이,절댓값 |X| = k 꼴의 방정식은 X = k 또는 X = -k 두 경우로 나누어 풉니다. k > 0 이면 두 해 k = 0 이면 X = 0 한 해 k < 0 이면 절댓값은 음수가 될 수 없으므로 해가 없어요. 예를 들어 |x-3| = 2 는 x-3 = 2 또는 x-3 = -2 라서 x = 5 또는 x = 1 입니다. 양 끝 값에 부호를 모두 살펴보지 않고 한쪽 경우만 풀고 끝내는 실수에 주의하세요.,|x-3|=2 → x-3=2 또는 x-3=-2 → x=5 또는 x=1
E08,근과 계수의 관계,방정식,고1,E04,두 근의 합·곱을 계수로 표현,이차방정식 ax²+bx+c=0 의 두 근을 α β 라 하면 두 근의 합 α+β = -b/a 그리고 곱 αβ = c/a 가 성립합니다. 근을 직접 구하지 않아도 합과 곱만으로 식의 값을 알 수 있는 강력한 도구예요. 예를 들어 x²-5x+6=0 은 α+β=5 αβ=6 이고 α²+β² 는 (α+β)²-2αβ = 25-12 = 13 으로 한 번에 구해집니다. a 가 1 이 아닌 경우 분모 a 를 빼먹는 실수가 잦으니 공식을 그대로 사용하세요.,x²-5x+6=0 → α+β=5 αβ=6 → α²+β² = 25-12 = 13
B01,부등식의 의미와 성질,부등식,중1,I05;E01,< > ≤ ≥ 의 의미와 양변 변형 규칙,부등식은 두 식의 크기 관계를 < > ≤ ≥ 기호로 나타냅니다. 양변에 같은 수를 더하거나 빼는 변형 그리고 양변에 같은 양수를 곱하거나 나누는 변형은 부등호 방향이 그대로 유지돼요. 그러나 양변에 음수를 곱하거나 나누면 부등호 방향이 반드시 뒤집힙니다. 3 < 5 의 양변에 -1 을 곱하면 -3 > -5 가 되는 식이에요. 음수를 곱·나눌 때 방향 뒤집기를 잊으면 답이 통째로 어긋나니 절대 잊지 마세요.,3 < 5 의 양변에 -1 곱 → -3 > -5 (방향 바뀜)
B02,일차부등식 풀이,부등식,중1,B01;E02,이항 후 계수로 나누되 음수면 방향 뒤집기,일차부등식의 풀이 절차는 일차방정식과 같습니다. 미지수가 있는 항은 한쪽으로 상수항은 다른 쪽으로 이항하고 동류항을 정리한 뒤 양변을 미지수 계수로 나눠 해의 범위를 구해요. 차이는 단 하나 미지수의 계수가 음수일 때 양변을 그 음수로 나누면 부등호 방향을 뒤집어야 한다는 점입니다. 2x+1 ≤ 7 → 2x ≤ 6 → x ≤ 3 이고 -x > 5 → x < -5 처럼 양변을 -1 로 나눌 때 방향이 바뀝니다.,2x+1 ≤ 7 → 2x ≤ 6 → x ≤ 3   /   -x > 5 → x < -5 (음수 나눔 방향 뒤집기)
B03,부등식의 활용,부등식,중1,B02,문제를 부등식으로 옮겨 풀기,일상 문제에서 '최대' '최소' '이상' '이하' '미만' '초과' 같은 표현은 부등식으로 옮길 수 있어요. 변수 정의 → 부등식 세우기 → 풀기 → 답 확인의 순서로 진행하면 됩니다. 예를 들어 한 개에 800 원인 사탕을 5000 원 안에서 살 수 있는 최대 개수를 묻는 문제는 800x ≤ 5000 으로 세워 x ≤ 6.25 이므로 사탕은 최대 6 개라는 답이 나와요. 단위와 상황에 맞게 답을 자연수 등으로 다듬어 마무리하는 단계를 잊지 마세요.,800x ≤ 5000 → x ≤ 6.25 → 사탕 최대 6개
B04,연립부등식 기본,부등식,고1,B02,두 부등식 모두 만족하는 범위,두 부등식을 동시에 만족하는 x 의 범위를 찾는 문제입니다. 각각의 부등식을 따로 푼 뒤 두 해의 범위가 겹치는 부분(공통 부분) 이 연립부등식의 해예요. 수직선 위에 두 범위를 그리면 어느 부분이 공통인지 한눈에 보여 실수를 막을 수 있습니다. 예를 들어 x>1 과 x<5 가 동시에 성립해야 하는 연립부등식의 해는 1 < x < 5 입니다. 두 해가 겹치지 않으면 해가 없는 경우도 있어요.,x>1 그리고 x<5 → 1 < x < 5
B05,이차부등식,부등식,고1,P07;B02,이차식의 부호 영역 결정,이차부등식 ax²+bx+c < 0 또는 > 0 은 좌변을 인수분해해 두 근을 찾은 뒤 이차함수 그래프와 x 축 교점을 떠올리면 풀이 영역이 직관적으로 보여요. 위로 열린 포물선이라면 두 근 사이에서 함수값이 음수 두 근 바깥에서 양수가 됩니다. 예를 들어 x²-5x+6 ≤ 0 은 (x-2)(x-3) ≤ 0 이고 두 근 2 와 3 사이가 답이 되어 2 ≤ x ≤ 3 입니다. ≤ 인지 < 인지에 따라 양 끝 값을 포함할지 말지 달라지니 부등호의 종류를 끝까지 확인하세요.,x²-5x+6 ≤ 0 → (x-2)(x-3) ≤ 0 → 2 ≤ x ≤ 3
G01,좌표평면 기초,좌표,중1-2,I01,점을 (x y) 순서쌍으로 표시,평면 위의 모든 점은 가로축(x 축) 값과 세로축(y 축) 값 두 좌표 (x y) 로 정확히 한 점씩 표시됩니다. 가로는 오른쪽이 양수 세로는 위쪽이 양수이며 두 축이 만나는 점이 원점 (0 0) 이에요. 점 A(2 3) 은 원점에서 오른쪽으로 2 위쪽으로 3 칸 이동한 위치입니다. (x y) 의 순서를 바꾸면 다른 점이 되므로 항상 가로 먼저 세로 다음 순서를 지키세요.,점 A(2 3)는 오른쪽 2 위쪽 3 위치   /   원점은 (0 0)
G02,두 점 사이의 거리,좌표,중2-3,G01;R02,피타고라스 정리로 거리 계산,두 점 (x₁ y₁) 과 (x₂ y₂) 를 양 끝으로 하는 선분의 길이는 √((x₂-x₁)² + (y₂-y₁)²) 입니다. 가로 차이와 세로 차이를 두 변으로 하는 직각삼각형의 빗변을 피타고라스 정리로 구하는 것과 같아요. 예를 들어 (0 0) 과 (3 4) 사이의 거리는 √(9+16) = √25 = 5 입니다. 차이를 빼는 순서는 어느 쪽을 먼저 빼도 제곱하면 같아지지만 부호 실수를 막기 위해 항상 같은 순서로 빼는 습관이 좋아요.,A(0 0) B(3 4) → 거리 = √(9+16) = √25 = 5
G03,좌표 위 도형,좌표,중2,G01,좌표를 이용해 도형의 성질 확인,좌표평면 위에 점들을 찍어 도형을 그리고 길이 중점 넓이 등을 좌표값으로 직접 계산할 수 있어요. 두 점 (x₁ y₁) 과 (x₂ y₂) 의 중점은 두 좌표를 각각 평균 낸 ((x₁+x₂)/2 (y₁+y₂)/2) 이며 선분의 길이는 두 점 사이의 거리 공식을 씁니다. 예를 들어 A(2 0) B(6 0) 의 중점은 (4 0) 이에요. 중점을 구할 때 분모 2 를 빠뜨리거나 가로 세로 좌표를 섞어서 평균 내는 실수가 흔하니 분리해서 계산하세요.,A(2 0) B(6 0)의 중점 → ((2+6)/2 (0+0)/2) = (4 0)
G04,일차함수 그래프 (직선),좌표,중2,G01;H03,y=ax+b 의 그래프는 직선,y = ax+b 의 그래프는 항상 곧은 직선이며 a 는 기울기 b 는 y 절편(직선이 y 축과 만나는 점의 y 값) 입니다. a > 0 이면 오른쪽 위로 a < 0 이면 오른쪽 아래로 향하고 |a| 가 클수록 직선의 기울기가 가팔라져요. y = 2x+1 은 기울기 2 y 절편 1 의 직선입니다. 점 (0 b) 와 또 다른 한 점을 잡아 두 점만 찍으면 직선을 그릴 수 있고 a 의 부호를 그래프 방향과 헷갈리지 않도록 조심하세요.,y=2x+1 → 기울기 2 y절편 1   /   y=-x+3 → 기울기 -1 y절편 3
G05,피타고라스 정리,좌표,중3,R02;R03,직각삼각형 빗변² = 두 변²의 합,직각삼각형에서 가장 긴 변(빗변) 의 제곱은 나머지 두 변의 제곱의 합과 같다는 것이 피타고라스 정리예요. 식으로 적으면 c² = a² + b² 이며 두 변이 3 과 4 면 빗변은 √(9+16) = 5 가 됩니다. 좌표평면에서 두 점 사이의 거리 공식이 바로 이 정리에서 나왔어요. 직각이 아닌 삼각형에는 그대로 쓸 수 없고 빗변을 다른 변으로 잘못 잡지 않도록 직각의 위치를 먼저 확인하세요.,두 변 3과 4 → 빗변 = √(9+16) = 5
G06,직선의 방정식,좌표,고1,H03,한 점과 기울기 또는 두 점으로 식 만들기,한 점 (x₁ y₁) 을 지나고 기울기 m 인 직선의 식은 y - y₁ = m(x - x₁) 입니다. 이를 점기울기 형태라 하며 두 점이 주어지면 m = (y₂-y₁)/(x₂-x₁) 로 기울기를 먼저 구한 뒤 같은 식에 대입해요. 예를 들어 점 (1 2) 와 기울기 3 인 직선은 y-2 = 3(x-1) → y = 3x-1 입니다. 분모와 분자를 거꾸로 빼서 기울기 부호가 바뀌지 않도록 같은 점을 첫 점 (x₁ y₁) 으로 일관되게 정해 사용하세요.,점 (1 2) 기울기 3 → y-2 = 3(x-1) → y = 3x-1
G07,원의 방정식,좌표,고1,G05;G02,중심과 반지름으로 원 표현,좌표평면 위에서 한 점(중심) 으로부터 같은 거리(반지름) 만큼 떨어진 점들의 모임이 원이고 두 점 사이의 거리 공식에서 곧장 식을 만들 수 있어요. 중심 (a b) 반지름 r 인 원의 표준형은 (x-a)² + (y-b)² = r² 입니다. 일반형 x²+y²+Dx+Ey+F=0 도 완전제곱식으로 변형하면 표준형으로 바꿀 수 있어요. 중심의 좌표 부호와 식 안의 부호가 반대라는 점을 자주 헷갈리는데 (x-a)² 안의 a 가 중심의 x 좌표라는 것을 기억하세요.,중심 (1 -2) 반지름 3 → (x-1)² + (y+2)² = 9
G08,점과 직선의 거리,좌표,고1,G02;G06,점에서 직선까지 수직 거리 공식,점 (x₀ y₀) 에서 직선 ax+by+c = 0 까지의 거리(가장 가까운 수직 거리) 는 |ax₀+by₀+c| / √(a²+b²) 입니다. 분자에는 점의 좌표를 직선의 좌변에 그대로 대입한 결과의 절댓값이 분모에는 x y 의 계수의 제곱합의 제곱근이 들어가요. 예를 들어 (1 2) 와 직선 3x+4y-12=0 사이의 거리는 |3+8-12|/√25 = 1/5 입니다. 직선의 식을 ax+by+c=0 형태로 정리한 뒤 공식을 적용해야 한다는 점을 잊지 마세요.,(1 2) 에서 3x+4y-12=0 까지 = |3+8-12|/√25 = 1/5
H01,함수의 의미 (대응),함수,중2,M02,x에 대해 y가 하나로 정해지는 대응,한 집합의 각 원소에 다른 집합의 원소가 정확히 하나씩만 짝지어지는 관계가 함수입니다. 입력 x 가 정해지면 출력 y 가 단 하나로 결정되어야 한다는 점이 핵심이에요. 함수 f 의 입력 x 에 대한 출력은 f(x) 로 적고 식이 f(x) = 2x+1 이면 입력 3 에 대한 출력은 f(3) = 7 입니다. 한 입력에 두 가지 다른 출력이 나오는 관계는 함수가 아니에요.,f(x) = 2x+1 → f(3) = 7
H02,함수값 f(x) 계산,함수,중2,H01,식에 x값 대입,함수의 식이 주어졌을 때 어떤 x 값을 식에 대입해 출력 f(x) 를 계산하는 일이 함수값 구하기예요. f(x) = x²-2x 에서 f(3) = 9-6 = 3 처럼 x 자리에 3 을 넣고 사칙연산만 하면 됩니다. 음수를 대입할 때는 반드시 괄호로 감싸 부호 실수를 막아야 해요. f(-1) = (-1)²-2·(-1) = 1+2 = 3 처럼 처리합니다. -1² 와 (-1)² 가 다르다는 점을 절대 잊지 마세요.,f(x) = x²-2x → f(3) = 9-6 = 3   /   f(-1) = 1+2 = 3
H03,일차함수의 식 (기울기·y절편),함수,중2,H02,y=ax+b 형태와 의미,일차함수는 y = ax+b 꼴이고 a 가 기울기 b 가 y 절편(그래프와 y 축이 만나는 점의 y 값) 입니다. 기울기는 x 가 1 만큼 늘어날 때 y 가 얼마나 변하는지를 나타내며 두 점이 주어지면 (y 차이)/(x 차이) 로 구해요. 예를 들어 (1 2) 와 (3 8) 을 지나면 기울기는 (8-2)/(3-1) = 3 이에요. 분모와 분자를 같은 점부터 시작해서 일관되게 빼야 부호 실수를 막을 수 있습니다.,y=2x+3 → 기울기 2 y절편 3   /   두 점 (1 2)(3 8) → 기울기 (8-2)/(3-1) = 3
H04,이차함수 y=ax² 형태,함수,중3-고1,H02;P01,원점을 지나는 포물선,y = ax² 의 그래프는 원점을 꼭짓점으로 하는 좌우 대칭 포물선입니다. a > 0 이면 위로 열리고 a < 0 이면 아래로 열리며 |a| 가 클수록 폭이 좁아지고 작을수록 넓어져요. y = x² 은 위로 열린 기본 포물선 y = -2x² 은 아래로 열린 폭이 좁은 포물선입니다. a 의 부호와 곡선 방향을 헷갈리지 않도록 a 의 부호 → 입이 위 또는 아래 라고 한 마디로 외워 두면 좋아요.,y=x² → 위로 열린 포물선   /   y=-2x² → 아래로 열린 폭 좁은 포물선
H05,이차함수 표준형,함수,중3-고1,H04,y=a(x-p)²+q 와 꼭짓점 (p q),y = a(x-p)² + q 형태가 이차함수의 표준형이고 이때 꼭짓점은 (p q) 입니다. 이는 기본 포물선 y = ax² 를 가로로 p 만큼 세로로 q 만큼 평행이동한 것과 같아요. 예를 들어 y = (x-3)² + 2 의 꼭짓점은 (3 2) 입니다. (x-p)² 안의 부호와 꼭짓점 좌표 p 의 부호가 반대라는 점을 자주 혼동하니 항상 표준형 안의 부호를 그대로 두지 말고 'p 의 진짜 값' 을 찾아 적으세요.,y = (x-3)² + 2 → 꼭짓점 (3 2)
H06,이차함수 그래프 평행이동,함수,중3-고1,H05,일반형 → 표준형 변환으로 꼭짓점 찾기,일반형 y = ax²+bx+c 를 완전제곱식으로 변형해 표준형 y = a(x-p)²+q 로 바꾸면 꼭짓점 (p q) 와 그래프의 위치가 한눈에 보입니다. y = x²+4x+1 은 (x²+4x+4) - 4 + 1 = (x+2)² - 3 으로 정리되어 꼭짓점 (-2 -3) 을 가져요. 즉 가로 -2 세로 -3 만큼 기본 포물선이 평행이동한 그래프입니다. 완전제곱을 만들 때 +(b/2)² 를 더했으면 같은 만큼 빼서 식을 변형해야 한다는 균형을 잊지 마세요.,y = x²+4x+1 → y = (x+2)² - 3 → 꼭짓점 (-2 -3)
H07,합성함수,함수,고1,H02,한 함수의 결과를 다른 함수에 입력,두 함수 f 와 g 가 있을 때 g 의 출력을 다시 f 의 입력으로 넣어 만든 새로운 함수가 합성함수이며 (f ∘ g)(x) = f(g(x)) 로 적습니다. f(x) = 2x g(x) = x+1 일 때 (f ∘ g)(x) = f(x+1) = 2(x+1) = 2x+2 가 돼요. 함수의 적용 순서가 매우 중요해서 (f ∘ g)(x) ≠ (g ∘ f)(x) 가 일반적이라는 점이 함정입니다. ∘ 기호 안쪽 함수부터 먼저 적용한다는 순서를 정확히 기억하세요.,f(x)=2x g(x)=x+1 → (f∘g)(x) = f(x+1) = 2(x+1) = 2x+2
H08,역함수,함수,고1,H07,입출력을 바꾼 함수,함수 f 의 입력과 출력을 거꾸로 바꾼 함수가 역함수 f⁻¹ 입니다. y = f(x) 에서 x 와 y 를 서로 바꾸고 다시 y 에 대해 정리하면 식을 얻을 수 있어요. f(x) = 2x+1 이면 y = 2x+1 → x = 2y+1 → y = (x-1)/2 이므로 f⁻¹(x) = (x-1)/2 입니다. 역함수가 존재하려면 원래 함수가 일대일 대응이어야 하며 f⁻¹ 의 -1 은 음의 지수가 아니라 '역' 을 뜻하는 기호라는 점에 주의하세요.,f(x) = 2x+1 → y=2x+1 → x=2y+1 → f⁻¹(x) = (x-1)/2
H09,유리함수 그래프 (y=k/x),함수,고1,V01;H02,쌍곡선 형태와 점근선,y = k/x 의 그래프는 원점을 중심으로 한 쌍의 곡선이 휘어 있는 쌍곡선이며 x 축과 y 축이 점근선(끝없이 가까워지지만 닿지 않는 직선) 입니다. k > 0 이면 1 사분면과 3 사분면에 그려지고 k < 0 이면 2 사분면과 4 사분면에 그려져요. y = 2/x 는 1·3 사분면 y = -1/x 는 2·4 사분면에 위치합니다. 정의역은 x ≠ 0 이라는 제한이 있고 분모를 0 으로 만드는 값을 정의역에서 빼는 것을 잊지 마세요.,y = 2/x → 1·3사분면   /   y = -1/x → 2·4사분면
H10,무리함수 그래프 (y=√x),함수,고1,R02;H02,근호 안 정의역 주의,y = √x 의 그래프는 (0 0) 에서 시작해 오른쪽 위로 부드럽게 휘어 올라가는 곡선이며 근호 안의 식이 음수가 되면 정의되지 않으므로 정의역에 제약이 생깁니다. y = √x 는 x ≥ 0 y = √(x-1) 은 x-1 ≥ 0 즉 x ≥ 1 이 정의역이에요. 그래프를 그릴 때는 시작점(꼭짓점) 의 위치와 곡선이 휘는 방향을 함께 표시해야 합니다. 정의역 조건을 빠뜨리고 모든 실수에서 그래프를 그리는 실수가 흔합니다.,y = √x → 정의역 x≥0   /   y = √(x-1) → 정의역 x≥1
V01,유리식의 약분,유리식,고1,F02;P04,분자분모 공통인수 소거,유리식 분수의 분자와 분모를 모두 인수분해하여 공통인수를 찾아 위아래에서 동시에 지우는 작업이 유리식의 약분입니다. 분수의 약분과 같은 원리이지만 다항식 인수분해가 먼저 필요해요. 예를 들어 (x²-1)/(x-1) 은 분자를 (x+1)(x-1) 로 인수분해해 (x-1) 을 약분하면 x+1 이 됩니다. 단 분모를 0 으로 만드는 x 값(여기서는 x = 1) 은 정의역에서 제외해야 한다는 점을 잊지 마세요.,(x²-1)/(x-1) = (x+1)(x-1)/(x-1) = x+1  (x≠1)
V02,유리식의 곱셈·나눗셈,유리식,고1,V01;F05,분자끼리 분모끼리 곱 또는 역수 곱,유리식의 곱셈은 분자끼리 분모끼리 곱한 뒤 약분하면 되고 나눗셈은 뒤 식의 분자와 분모를 뒤집은 역수를 곱셈으로 바꾸어 처리합니다. 곱하기 전에 분자와 분모를 미리 인수분해해 두면 약분이 한눈에 보여 계산이 매우 짧아져요. 예를 들어 x/(x+1) × (x+1)/x² 은 (x+1) 을 약분하고 x 도 약분해 1/x 가 됩니다. 분수의 곱셈에는 통분이 필요 없다는 점도 함께 기억해 두세요.,x/(x+1) × (x+1)/x² = 1/x
V03,유리식의 덧셈·뺄셈,유리식,고1,V01;F03,통분 후 분자 합·차,분수의 덧셈·뺄셈처럼 유리식도 분모를 먼저 통분한 뒤 분자끼리 더하거나 뺍니다. 분모들의 인수분해를 먼저 한 다음 최소공배수에 해당하는 공통분모를 정해 분자에 같은 비율을 곱해 주면 돼요. 예를 들어 1/x + 1/y 는 공통분모 xy 로 통분해 (y+x)/(xy) 가 됩니다. 통분 없이 분자만 더하거나 분모도 같이 더하는 잘못이 가장 많은 실수이므로 항상 분모부터 정리하세요.,1/x + 1/y = (y+x)/(xy)
